"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
18.0,15.0,1.4,3600.0,0.27,7.0,470.0,1245560.0,-0.7026787186739325,3.0139149474065556,5.619473848132066,0.8957037794933707,3.00329000439342,-128.63951329401175,21.899385771488625,138.90222026556833,13657.02800900003,1717.3484961470008
19.0,15.0,1.4,3600.0,0.28,7.0,470.0,1245584.0,-0.7031084944246166,3.2319762476250085,5.928773485888781,0.888430024836925,3.202614503195787,-128.52289042018535,23.360347432503055,139.5198736159788,15791.530901999995,2039.7057481539998
20.0,15.0,1.4,3600.0,0.29,7.0,470.0,1245644.0,-0.7035472137752299,3.482246466818007,6.30004255219677,0.8877293275220144,3.4153217928703397,-128.40123797932287,25.038976226570597,140.24260339400834,15914.768700000002,2056.7755014109985
21.0,15.0,1.4,3600.0,0.3,7.0,470.0,1245767.0,-0.7039922145790991,3.776337774002159,6.7606754518345715,0.8946907973949649,3.644831923136934,-128.27458197948908,27.00570199157346,141.0984388220889,13609.608404000004,1714.448433137
22.0,15.0,1.4,3600.0,0.31,7.0,470.0,1245819.0,-0.7044584557396901,3.978904733003025,7.039354818895714,0.8807046297259689,3.8530669282131003,-128.14027578975094,28.385311390205935,141.65426069984503,13932.098429999987,1760.7584903540007
23.0,15.0,1.4,3600.0,0.32,7.0,470.0,1245976.0,-0.7049735495473312,4.165743811507631,7.217553630672467,0.8529215593357451,4.030824886713104,-127.99856803147345,29.292000967793,141.87644667037327,17935.120691999997,2362.572052797999
24.0,15.0,1.4,3600.0,0.33,7.0,470.0,1246043.0,-0.7054502234664877,4.539295840439835,7.803075739428763,0.8729122065843318,4.305728025321127,-127.85340428065349,31.881478038817875,143.08678271428167,18491.395494000004,2463.212558554999
25.0,15.0,1.4,3600.0,0.34,7.0,470.0,1246214.0,-0.7059640518323357,4.81827021897588,8.1838399669757,0.863838373367624,4.534755294031766,-127.69921932833168,33.49116900914501,143.65352285749333,13960.893912000003,1757.5612223000012
26.0,15.0,1.4,3600.0,0.35,7.0,470.0,1246195.0,-0.7064680777841409,5.208903045432931,8.79840933696876,0.8771770911430732,4.806379478739096,-127.53908768956245,36.03822102298939,144.76361685141106,13673.27018699998,1721.0549610429998
27.0,15.0,1.4,3600.0,0.36,7.0,470.0,1246271.0,-0.707046002913769,5.511275507510356,9.192738005630293,0.8731792334897582,5.048106114075888,-127.3688330080043,37.95319851397527,145.56991189476304,19319.030470999987,2568.5405432789958
