"SupSonicSweep2_012726: Design Number","SupSonicSweep2_012726: BEAVSExtension (mm)","SupSonicSweep2_012726: BEAVSPosition (m)","SupSonicSweep2_012726: FreestreamAltitude (ft)","SupSonicSweep2_012726: FreestreamMach","SupSonicSweep2_012726: FreestreamTemperature (C)","SupSonicSweep2_012726: NumSteps","SupSonicSweep2_012726: Cell Count","SupSonicSweep2_012726: Center of Loads (m)","SupSonicSweep2_012726: Drag BEAVS (N)","SupSonicSweep2_012726: Drag Center Body (N)","SupSonicSweep2_012726: Drag Coefficient","SupSonicSweep2_012726: Drag Fins (N)","SupSonicSweep2_012726: Drag Nose (N)","SupSonicSweep2_012726: Drag of all external components (N)","SupSonicSweep2_012726: Drag Tail & Base (N)","SupSonicSweep2_012726: Total Solver CPU Time (s)","SupSonicSweep2_012726: Total Solver Elapsed Time (s)"
29.0,0.0,1.4,3600.0,0.38,7.0,470.0,1241962.0,-0.7084883477068747,0.03196591401827659,10.278449583296315,0.7523267074214033,5.5561438199966044,-127.0142681476977,36.43457138160148,147.58228021198798,13763.278742000002,1733.4516834220005
30.0,0.0,1.4,3600.0,0.39,7.0,470.0,1242138.0,-0.7091395698294384,0.03297172978352826,10.855854224214589,0.751909665085591,5.826559125702748,-126.82026052626915,38.35613838967477,148.46101383624304,13722.836718000002,1726.3816514829975
31.0,0.0,1.4,3600.0,0.4,7.0,470.0,1242202.0,-0.7097667698329186,0.03377188611987571,11.333641398588057,0.7508780338336056,6.09772446980508,-126.61611175764816,40.292980221395865,149.44395422453104,17843.668166000003,2353.416080320002
32.0,0.0,1.4,3600.0,0.41,7.0,470.0,1242406.0,-0.710474842421001,0.034765713106595354,11.92693667402079,0.7483980791609286,6.381130418991875,-126.40390268044204,42.192997249413786,150.25406712373655,16555.632684000026,2136.100357665002
33.0,0.0,1.4,3600.0,0.42,7.0,470.0,1242480.0,-0.7111671461398389,0.035329751223649675,12.301031685183897,0.7413205785266466,6.654814072012505,-126.1806260436199,43.857577296373,151.04702783157285,14332.986165000002,1804.6682917690005
34.0,0.0,1.4,3600.0,0.43,7.0,470.0,1242592.0,-0.7119031298927382,0.036701674869947416,13.097772836380566,0.74991364886588,6.9676179756673315,-125.95226034728829,46.50376898140203,152.35393684177248,14317.881701000006,1803.1095537590013
35.0,0.0,1.4,3600.0,0.4400000000000001,7.0,470.0,1242779.0,-0.7126721592515368,0.03789657158339123,13.802797623025306,0.7523122269545193,7.276249667674862,-125.71490307525364,48.84762738605759,153.4455865990277,17681.086031000006,2328.7712268479972
36.0,0.0,1.4,3600.0,0.4500000000000001,7.0,470.0,1242905.0,-0.7134186130832187,0.038390354737048875,14.134666310936753,0.7441273128691754,7.568286687524369,-125.46799465107566,50.537327653407026,154.26397895128449,18121.634352999987,2362.9676684410015
37.0,0.0,1.4,3600.0,0.46,7.0,470.0,1243093.0,-0.7142125666430096,0.03966984087184344,14.875889793082152,0.7479073709316729,7.891695738894509,-125.21805242405466,53.076647535027334,155.4874445862335,14202.810256999992,1790.094857240998
38.0,0.0,1.4,3600.0,0.47,7.0,470.0,1243177.0,-0.7149993024889103,0.040247443910412066,15.297851719629355,0.7435894358399979,8.207787623779748,-124.95839316353228,55.08950912302794,156.50201549924074,13811.636022999981,1738.7604154020025
